"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"UBE2R2.1",0.000190174481277761,-0.663470227356602,0.064,0.155,1,"5","UBE2R2"
"SYTL1",0.000190371528418189,1.69947433439879,0.068,0.029,1,"5","SYTL1"
"AGO2",0.000192723111362197,-1.19286157283686,0.034,0.108,1,"5","AGO2"
"LINC02068",0.000194502463414402,2.96229098140997,0.027,0.006,1,"5","LINC02068"
"CHL1.3",0.000194935291321854,-2.56065945624327,0.008,0.064,1,"5","CHL1"
"HNRNPC.1",0.000195190879115162,-0.501135982994613,0.117,0.229,1,"5","HNRNPC"
"CCDC91.1",0.000195198205324358,-0.7846222280147,0.057,0.143,1,"5","CCDC91"
"ABCB1.2",0.000196506328987439,-1.1610497762774,0.03,0.102,1,"5","ABCB1"
"XPO4.1",0.000198941743697945,-1.67248609830898,0.019,0.084,1,"5","XPO4"
"KLRD1",0.000199119080704005,-7.50491947663511,0,0.05,1,"5","KLRD1"
"SMAP1.1",0.000203026231530978,-0.767675524206435,0.045,0.126,1,"5","SMAP1"
"CCDC50.2",0.00020441739904513,-0.599253030305713,0.091,0.192,1,"5","CCDC50"
"CANX.3",0.000207505317625776,-2.1229311813759,0.008,0.064,1,"5","CANX"
"MKLN1.2",0.000208550383072389,-0.349219738668663,0.28,0.458,1,"5","MKLN1"
"TBC1D2.2",0.000211497490232147,-7.36418946014094,0,0.05,1,"5","TBC1D2"
"PTPN2.1",0.000211648491138257,-3.14528224457034,0.004,0.057,1,"5","PTPN2"
"CSDE1.2",0.000215206126354939,-0.883232835331935,0.038,0.114,1,"5","CSDE1"
"KAT2B",0.00021738415042781,-1.09330914275086,0.034,0.107,1,"5","KAT2B"
"CYP3A5.4",0.000221443808315059,-1.65039949427091,0.027,0.094,1,"5","CYP3A5"
"EGLN1.1",0.000224740982695357,-1.54577293189861,0.019,0.083,1,"5","EGLN1"
"PDIA5",0.000225325265735471,1.48341577488515,0.125,0.07,1,"5","PDIA5"
"LRRFIP2.1",0.000227003121767005,-0.543669043572224,0.114,0.222,1,"5","LRRFIP2"
"ATOH8.2",0.000227382753356702,1.98680764682426,0.076,0.034,1,"5","ATOH8"
"AC103957.1",0.000230493683011432,3.43399648533255,0.011,0.001,1,"5","AC103957.1"
"ZMAT4",0.000230986556002155,3.80440422044169,0.011,0.001,1,"5","ZMAT4"
"DDAH1.3",0.000231515256326275,-7.29421872844195,0,0.049,1,"5","DDAH1"
"SARS.1",0.000231515256326275,-7.35985983577075,0,0.049,1,"5","SARS"
"PAPSS1.2",0.000231515256326275,-7.2078279728263,0,0.049,1,"5","PAPSS1"
"IKBKB.1",0.000234610514215795,-0.739343568319979,0.072,0.162,1,"5","IKBKB"
"VAPA.1",0.000234669318192727,-0.742643176722344,0.072,0.162,1,"5","VAPA"
"PSPC1.1",0.000235919480609424,-0.568387418909042,0.072,0.165,1,"5","PSPC1"
"RANBP9.2",0.000237241204843853,-1.32664923450378,0.03,0.101,1,"5","RANBP9"
"SMAD1.1",0.000238557922500703,-1.40852319383952,0.03,0.1,1,"5","SMAD1"
"DUSP5.2",0.000238598331680775,-7.51115760127911,0,0.049,1,"5","DUSP5"
"NFATC1.1",0.000239302170439449,-1.11316385257184,0.038,0.112,1,"5","NFATC1"
"RPGR.4",0.000239929303962619,-0.409945860566651,0.231,0.381,1,"5","RPGR"
"NT5C2.2",0.00024089803256041,-0.613975197248369,0.091,0.19,1,"5","NT5C2"
"RASA2.1",0.000241741666677049,-0.58589180128937,0.091,0.191,1,"5","RASA2"
"KIAA0355.1",0.000241806965328462,-0.43331278043925,0.155,0.28,1,"5","KIAA0355"
"HIPK3.5",0.000242656100221535,-0.45824202519122,0.163,0.289,1,"5","HIPK3"
"BCR.5",0.000246118139492481,-0.469646282734016,0.125,0.239,1,"5","BCR"
"DAPK3.1",0.000246251018003328,-2.07190685581142,0.015,0.076,1,"5","DAPK3"
"CRIP2.2",0.000249041557027484,-1.7833777226088,0.015,0.076,1,"5","CRIP2"
"UCK2.2",0.000249313173374536,-2.51311825368167,0.008,0.063,1,"5","UCK2"
"NUCB1.1",0.000249696253480924,-3.39398597097145,0.004,0.056,1,"5","NUCB1"
"MGLL.4",0.000253418076283535,-7.34127201030135,0,0.048,1,"5","MGLL"
"ATRX.2",0.000254563709509572,-0.399930334300917,0.205,0.351,1,"5","ATRX"
"OPHN1.3",0.000255803693811904,0.749087662673569,0.326,0.261,1,"5","OPHN1"
"PATL2",0.000256494785102803,2.41140558207319,0.038,0.012,1,"5","PATL2"
"INTS6",0.000258143032305364,-0.852389857377084,0.057,0.14,1,"5","INTS6"
"PDE3A.3",0.000258407827790109,-2.25195932172589,0.015,0.075,1,"5","PDE3A"
"MT-ND6.2",0.000261783764033606,-2.31496674840383,0.011,0.069,1,"5","MT-ND6"
"CMIP.3",0.000266191782572849,-0.367061820042686,0.246,0.405,1,"5","CMIP"
"SESN1.1",0.000269093849857913,-2.00830175846761,0.015,0.075,1,"5","SESN1"
"SH3GL1.1",0.000271060054797445,-2.05067220252771,0.011,0.069,1,"5","SH3GL1"
"DNAJC13.3",0.000271784575289654,-0.964424416349189,0.038,0.112,1,"5","DNAJC13"
"ZBTB8A",0.00027304331220007,1.56892781285697,0.102,0.053,1,"5","ZBTB8A"
"NR1D2",0.000273636054307564,-3.44220697902723,0.004,0.055,1,"5","NR1D2"
"MYL6.3",0.000277382931656639,-7.23484349232603,0,0.048,1,"5","MYL6"
"N4BP1.1",0.00027853915953812,-1.38290401534142,0.023,0.088,1,"5","N4BP1"
"ARAP2.1",0.00028013466965806,-1.73821446505368,0.019,0.081,1,"5","ARAP2"
"TTC7A.4",0.000285862400100378,-7.14044929051366,0,0.048,1,"5","TTC7A"
"GNAI1.2",0.000285863065797672,-1.60479529867972,0.019,0.081,1,"5","GNAI1"
"MIR222HG.2",0.000286893266056587,-3.59337483302448,0.004,0.055,1,"5","MIR222HG"
"MAMLD1.1",0.000288532597366706,-3.49300940609686,0.004,0.055,1,"5","MAMLD1"
"HNRNPA2B1",0.000291050421483724,-0.413397296156063,0.208,0.346,1,"5","HNRNPA2B1"
"AFF1.2",0.000293694962278769,0.498749119870403,0.47,0.463,1,"5","AFF1"
"MAX.2",0.000298939149335603,-1.63480699866602,0.011,0.069,1,"5","MAX"
"MAP3K2.1",0.000300621938361554,-0.807927124623259,0.049,0.129,1,"5","MAP3K2"
"SPSB1.1",0.000301846768692154,-1.60274907842396,0.019,0.081,1,"5","SPSB1"
"FAM214A.2",0.00030242126671803,-0.612609242567243,0.061,0.147,1,"5","FAM214A"
"WNT5B.4",0.00030417845118385,1.52347424719995,0.11,0.059,1,"5","WNT5B"
"GAB2.1",0.000305529563661761,-0.473884651080147,0.064,0.153,1,"5","GAB2"
"FAM241A.1",0.000309635040824237,-0.888534810551986,0.042,0.117,1,"5","FAM241A"
"ASXL1",0.00031167029969857,-0.456017530760362,0.129,0.242,1,"5","ASXL1"
"MB21D2.1",0.000312880881097415,-7.39678826519453,0,0.047,1,"5","MB21D2"
"STOX2.4",0.00031333049219526,-1.4731937383551,0.03,0.098,1,"5","STOX2"
"ANO2.5",0.000313877587665239,0.364331810837204,0.53,0.498,1,"5","ANO2"
"SNAP23",0.000314753161828334,-1.01572805188782,0.049,0.126,1,"5","SNAP23"
"SLC30A7.1",0.00031719058009413,-0.66979463198036,0.072,0.161,1,"5","SLC30A7"
"PHF10",0.0003177448604514,-1.79936595767687,0.011,0.068,1,"5","PHF10"
"MAGI2.2",0.000320261790922407,-0.377874497818465,0.14,0.258,1,"5","MAGI2"
"NFKBIA.1",0.000327030446403388,-0.621286982073977,0.08,0.172,1,"5","NFKBIA"
"ANTXR1.4",0.000328703249029453,-2.51957233039301,0.011,0.067,1,"5","ANTXR1"
"CARHSP1",0.000332239231228135,-0.82802309120628,0.049,0.127,1,"5","CARHSP1"
"TRAF3.2",0.000335173369560131,-2.45169133092131,0.008,0.061,1,"5","TRAF3"
"AC007681.1.4",0.000337091094367337,-1.96380917048816,0.011,0.068,1,"5","AC007681.1"
"TRIM22.1",0.000338875922793804,-1.0917350403745,0.038,0.11,1,"5","TRIM22"
"CEP170.2",0.000340181640539123,-0.646170976374486,0.064,0.15,1,"5","CEP170"
